Job Title,Company,Location,Remote,Job URL,Logo URL,Experience Level,Tools Tags,Industry Type,Date Posted,Refreshed This Week,Job Portal
Looking For SDR. Not a Seat Warmer. A Door Opener.,Z H Consultancy Services,Kochi,On-site,https://www.naukri.com/job-listings-looking-for-sdr-not-a-seat-warmer-a-door-opener-z-h-consultancy-services-kochi-2-to-7-years-230525015046,https://img.naukimg.com/logo_images/groups/v1/10661606.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Software Product,2025-06-23,True,Naukri
SDR,SAM Manpower & Career Services,Bengaluru,On-site,https://www.naukri.com/job-listings-sdr-sam-manpower-career-services-bengaluru-1-to-3-years-270625030392,https://img.naukimg.com/logo_images/groups/v1/4872679.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",IT Services & Consulting,2025-06-28,True,Naukri
Women from SDR - Become a Recruiter | WFH,Software Product Development Unicorn,Bengaluru,On-site,https://www.naukri.com/job-listings-women-from-sdr-become-a-recruiter-wfh-jobs-territory-bengaluru-4-to-9-years-180625012503,https://img.naukimg.com/logo_images/groups/v1/2127278.gif,Mid-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Recruitment / Staffing,2025-06-23,True,Naukri
SDR Team Lead,Product based Top Firm in e-Learning Domain,Gurugram,On-site,https://www.naukri.com/job-listings-sdr-team-lead-spectra-gurugram-8-to-13-years-230625006122,https://img.naukimg.com/logo_images/groups/v1/177248.gif,Senior-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Telecom / ISP,2025-06-24,True,Naukri
SDR Professional,,Remote,Remote,https://www.naukri.com/job-listings-sdr-professional-pricelabs-remote-1-to-3-years-240625503113,https://img.naukimg.com/logo_images/groups/v1/5687710.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Software Product,2025-06-25,True,Naukri
"BDE, SDR,",,Jamnagar,On-site,https://www.naukri.com/job-listings-bde-sdr-omniism-technologies-jamnagar-2-to-7-years-250625933927,https://img.naukimg.com/logo_images/groups/v1/4616245.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",IT Services & Consulting,2025-06-26,True,Naukri
Sales Development Representative (SDR),Jobs Territory,Bengaluru,On-site,https://www.naukri.com/job-listings-sales-development-representative-sdr-coderenowned-bengaluru-0-to-2-years-160625502082,https://img.naukimg.com/logo_images/groups/v1/5978546.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Advertising & Marketing,2025-06-23,True,Naukri
SDR US - Healthcare,SPECTRA,Bengaluru,On-site,https://www.naukri.com/job-listings-sdr-us-healthcare-leadsquared-bengaluru-1-to-4-years-180625503897,https://img.naukimg.com/logo_images/groups/v1/4611229.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",N/A,2025-06-23,True,Naukri
"BDE, SDR,",Pricelabs,Ahmedabad,On-site,https://www.naukri.com/job-listings-bde-sdr-omniism-technologies-ahmedabad-2-to-7-years-250625933924,https://img.naukimg.com/logo_images/groups/v1/4616245.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",IT Services & Consulting,2025-06-26,True,Naukri
N/A,Omniism Technologies,N/A,On-site,https://www.naukri.com/job-listings-sdr-konnect-insights-mumbai-1-to-3-years-230625500132,N/A,N/A,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",N/A,2025-06-30,True,Naukri
Sales Development Representative (SDR),Omniism Technologies,Bengaluru,On-site,https://www.naukri.com/job-listings-sales-development-representative-sdr-i4-consulting-bengaluru-2-to-5-years-230625011450,https://img.naukimg.com/logo_images/groups/v1/4803835.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",FinTech / Payments,2025-06-24,True,Naukri
Sales Development Representative (SDR) For Pooling,Coderenowned,Bengaluru,On-site,https://www.naukri.com/job-listings-sales-development-representative-sdr-for-pooling-portcast-bengaluru-0-to-1-years-180625502551,https://img.naukimg.com/logo_images/groups/v1/6037763.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Courier / Logistics,2025-06-23,True,Naukri
SDR Manager - USA,LeadSquared,Bengaluru,On-site,https://www.naukri.com/job-listings-sdr-manager-usa-gocomet-bengaluru-2-to-6-years-200625503269,https://img.naukimg.com/logo_images/groups/v1/1838344.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Courier / Logistics,2025-06-23,True,Naukri
Sales Development Representative ( SDR ),Omniism Technologies,"Mumbai, Andheri East",On-site,https://www.naukri.com/job-listings-sales-development-representative-sdr-sharpsell-ai-mumbai-andheri-east-1-to-3-years-230625923570,https://img.naukimg.com/logo_images/groups/v1/7421925.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Software Product,2025-06-24,True,Naukri
Inside Sales Executive / SDR,Konnect Insights,Mumbai (All Areas),On-site,https://www.naukri.com/job-listings-inside-sales-executive-sdr-aion-tech-solutions-mumbai-all-areas-2-to-5-years-240625014928,https://img.naukimg.com/logo_images/groups/v1/10363922.gif,Entry-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",IT Services & Consulting,2025-06-25,True,Naukri
SDR 2,i4 Consulting,Bengaluru,On-site,https://www.naukri.com/job-listings-sdr-2-trask-bengaluru-4-to-9-years-200625504240,https://img.naukimg.com/logo_images/groups/v1/10031076.gif,Mid-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",IT Services & Consulting,2025-06-23,True,Naukri
Founding SDR,Portcast,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",On-site,https://www.naukri.com/job-listings-founding-sdr-weekday-yc-w21-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-180625504040,https://img.naukimg.com/logo_images/groups/v1/8275723.gif,Mid-level,"Salesforce, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",Recruitment / Staffing,2025-06-23,True,Naukri
