Job Title,Company,Location,Remote,Job URL,Logo URL,Experience Level,Tools Tags,Industry Type,Date Posted,Refreshed This Week,Job Portal
Sales Development Representative,Vendition,"San Francisco, CA, United States",On-site,https://www.talent.com/en/view?id=5aeeb09a0290,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=Vendition,Entry-level,None,N/A,2025-06-23,True,Talent
Sales Development Representative,xdge,"San Francisco Bay Area, United States",Hybrid,https://www.talent.com/en/view?id=a323f441cb52,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=xdge,Entry-level,None,N/A,2025-06-23,True,Talent
Sales Development Representative,Planview,"Austin, TX, US",Remote,https://www.talent.com/en/view?id=8d9d864a0237,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-30-us&empname=Planview,N/A,Salesforce,N/A,2025-06-28,True,Talent
Sales Development Representative,UNI Diamonds,"New York, NY, United States",On-site,https://www.talent.com/en/view?id=b4d0067715e8,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=UNI%20Diamonds,N/A,None,N/A,2025-06-23,True,Talent
Sales Development Representative,ROLLER,"Austin, TX, US",Remote,https://www.talent.com/en/view?id=3021d82af8f0,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-test-s&empname=ROLLER,Entry-level,"Salesforce, HubSpot",N/A,2025-05-31,False,Talent
Sales Development Representative,TensorStax,"Hayward, CA, United States",Hybrid,https://www.talent.com/en/view?id=5d9826521290,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=TensorStax,N/A,None,N/A,2025-06-23,True,Talent
Sales Development Representative,NetSPI LLC,"Minneapolis, MN, US",On-site,https://www.talent.com/en/view?id=16b6dcd93354,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-test-s&empname=NetSPI%20LLC,N/A,None,N/A,2025-06-05,False,Talent
Sales Development Representative,MPH Tech Academy,"Fremont, CA, United States",Remote,https://www.talent.com/en/view?id=2ca70e369123,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=MPH%20Tech%20Academy,N/A,LinkedIn Sales Navigator,N/A,2025-06-23,True,Talent
Sales Development Representative,Elevate,"San Diego, CA, United States",Remote,https://www.talent.com/en/view?id=84ae41c8506c,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=Elevate,N/A,None,N/A,2025-06-23,True,Talent
Sales Development Representative,Motionpoint Corp,"Pompano Beach, FL, US",Remote,https://www.talent.com/en/view?id=d9b08b10d785,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-test-s&empname=Motionpoint%20Corp,N/A,"Salesforce, Outreach.io",N/A,2025-05-31,False,Talent
Sales Development Representative,Dragonfly,"Santa Clara, CA, US",On-site,https://www.talent.com/en/view?id=3efa518f449e,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-30-us&empname=Dragonfly,Entry-level,HubSpot,N/A,2025-06-28,True,Talent
Sales Development Representative,SuperOps,"Fremont, CA, US",On-site,https://www.talent.com/en/view?id=d35ce0228e94,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-30-us&empname=SuperOps,Mid-level,"HubSpot, SalesLoft, LinkedIn Sales Navigator, ZoomInfo",N/A,2025-06-28,True,Talent
Sales Development Representative,WeBox,"San Carlos, CA, United States",On-site,https://www.talent.com/en/view?id=f1f596eecc95,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=WeBox,Entry-level,None,N/A,2025-06-24,True,Talent
Sales Development Representative,Guardz,"Miami, FL, US",Hybrid,https://www.talent.com/en/view?id=9d7d84866fab,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-test-s&empname=Guardz,Entry-level,HubSpot,N/A,2025-06-25,True,Talent
Sales Development Representative,Podium,"Lehi, UT, United States",Remote,https://www.talent.com/en/view?id=231ee08a67c6,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=Podium,N/A,None,N/A,2025-06-23,True,Talent
Sales Development Representative,"EyeMD EMR Healthcare Systems, Inc.","Naples, FL, United States",Remote,https://www.talent.com/en/view?id=b4841bbaf980,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=clickcast-li-us&empname=EyeMD%20EMR%20Healthcare%20Systems%2C%20Inc.,Entry-level,"Salesforce, HubSpot, LinkedIn Sales Navigator",N/A,2025-06-23,True,Talent
Sales Development Representative,The Weaver Adjustment Group,"Philadelphia, PA, US",Remote,https://www.talent.com/en/view?id=0db2d543c12e,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-test-s&empname=The%20Weaver%20Adjustment%20Group,N/A,None,N/A,2025-06-06,False,Talent
Sales Development Representative,Billd,"Austin, TX, US",On-site,https://www.talent.com/en/view?id=083473e5efd7,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=ziprecruiter-test-s&empname=Billd,Entry-level,Salesforce,N/A,2025-05-31,False,Talent
Sales Development Representative,Vivax Pros,"Austin, TX, US",On-site,https://www.talent.com/en/view?id=15da2db0f963,https://cdn-dynamic.talent.com/ajax/img/get-logo.php?empcode=jobcase-new&empname=Vivax%20Pros,N/A,None,N/A,2025-05-31,False,Talent
